estado;pib;pop;populacao_residente;2021
Acre;649.959,69;890;890000;0,730291787
Alagoas;4.468.915,68;3358;3358000;1,330826587
Amazonas;19.832.585,84;869;869000;22,82230822
Amapá;1.120.809,43;4104;4104000;0,273101713
Bahia;36.242.813,08;14966;14966000;2,421676672
Ceará;16.218.344,21;9238;9238000;1,75561206
Distrito Federal;4.849.524,87;3092;3092000;1,568410372
Espírito Santo;28.258.418,73;4105;4105000;6,883902248
Goiás;25.114.088,71;7209;7209000;3,483713235
Maranhão;10.297.082,62;7118;7118000;1,446625825
Minas Gerais;122.537.431,25;3512;3512000;34,89106812
Mato Grosso do Sul;12.066.796,58;2768;2768000;4,359391828
Mato Grosso;15.245.766,69;21401;21401000;0,712385715
Pará;52.743.407,81;8735;8735000;6,038169183
Paraíba;4.771.854,47;4038;4038000;1,181737115
Pernambuco;19.280.648,84;11584;11584000;1,664420653
Piauí;3.896.000,45;9616;9616000;0,405158117
Paraná;61.624.547,16;3289;3289000;18,7365604
Rio de Janeiro;138.700.407,60;17463;17463000;7,942530356
Rio Grande do Norte;6.978.099,70;3561;3561000;1,959589919
Rondônia;3.652.199,06;11448;11448000;0,319025075
Roraima;727.620,83;1805;1805000;0,403114033
Rio Grande do Sul;57.387.677,06;582;582000;98,60425612
Santa Catarina;45.209.689,24;7327;7327000;6,170286507
Sergipe;4.843.945,95;46643;46643000;0,103851509
São Paulo;245.564.463,74;2338;2338000;105,0318493
Tocantins;2.369.104,30;1594;1594000;1,486263676
