estado;2012;2013;2014;2015;2016;2017;2018;2019
Rondônia;695;707;710;697;716;734;741;770
Acre;274;282;291;286;284;280;303;290
Amazonas;1285;1354;1377;1368;1367;1385;1443;1480
Roraima;172;181;191;191;195;194;215;213
Pará;3050;3079;3081;3210;3163;3224;3192;3322
Amapá;273;288;278;288;287;288;283;313
Tocantins;579;591;607;598;609;608;621;639
Maranhão;2269;2258;2391;2406;2334;2258;2170;2194
Piauí;1236;1239;1273;1311;1212;1178;1154;1205
Ceará;3212;3310;3379;3339;3347;3403;3512;3593
Rio Grande do Norte;1236;1287;1294;1337;1293;1238;1282;1300
Paraíba;1405;1433;1502;1524;1413;1476;1473;1451
Pernambuco;3271;3304;3523;3548;3366;3342;3532;3510
Alagoas;1039;1045;1052;1061;1073;997;977;1022
Sergipe;859;847;895;895;868;833;826;908
Bahia;5790;5831;6008;6107;5668;5608;5642;5747
Minas Gerais;9359;9549;9542;9742;9396;9572;9737;10031
Espírito Santo;1716;1718;1719;1719;1691;1721;1821;1890
Rio de Janeiro;7513;7536;7580;7504;7414;7485;7524;7658
São Paulo;20799;21234;21381;21087;21437;21470;22072;22665
Paraná;5241;5348;5354;5354;5324;5331;5464;5522
Santa Catarina;3268;3286;3371;3391;3408;3506;3592;3666
Rio Grande do Sul;5187;5408;5339;5465;5402;5398;5389;5626
Mato Grosso do Sul;1154;1193;1218;1214;1250;1236;1302;1325
Mato Grosso;1435;1526;1499;1527;1503;1537;1582;1665
Goiás;3028;3112;3172;3145;3106;3249;3314;3369
Distrito Federal;1311;1379;1336;1371;1373;1402;1427;1435
Fonte: IBGE. Pesquisa Nacional por Amostra de Domicílios Contínua, acumulado de primeiras visitas, exceto 2020-2022, acumulado de quintas visitas, devido à pandemia de Covid-19.;;;;;;;;
